DATA,TMEDIA,TMIN,TMAX,PUNTORUGIADA,UMIDITA_percent,VISIBILITA_km,VENTOMEDIA_kmorari,VENTOMAX_kmorari,RAFFICA_kmorari,PRESSIONESLM_mb,PRESSIONEMEDIA_mb,PIOGGIA_mm,FENOMENI
1/8/2021,26,22,32,18,64,20,17,39,0,1005,0,0,pioggia temporale 
2/8/2021,26,21,31,16,56,19,17,28,0,1011,0,0,
3/8/2021,24,15,32,14,56,18,12,28,0,1013,0,0,
4/8/2021,25,20,30,17,64,19,11,22,0,1011,0,0,
5/8/2021,26,21,31,17,58,22,23,41,0,1006,0,0,pioggia temporale 
6/8/2021,26,22,29,18,63,18,14,21,0,1007,0,0,
7/8/2021,26,19,31,19,65,20,14,30,0,1008,0,0,
8/8/2021,29,24,34,17,50,21,14,28,0,1010,0,0,
9/8/2021,27,20,32,19,64,21,12,22,0,1016,0,0,
10/8/2021,25,19,30,19,72,22,9,17,0,1016,0,0,
11/8/2021,26,19,32,19,68,20,8,17,0,1016,0,0,
12/8/2021,26,19,31,21,76,19,9,18,0,1018,0,0,
13/8/2021,27,21,32,20,71,19,7,15,0,1020,0,0,
14/8/2021,27,20,33,20,69,19,9,21,0,1018,0,0,
15/8/2021,28,21,33,21,70,21,8,15,0,1014,0,0,
16/8/2021,29,23,35,19,57,19,12,24,0,1008,0,0,
17/8/2021,25,22,29,19,71,18,13,18,0,1009,0,0,
18/8/2021,24,19,27,17,68,20,9,15,0,1014,0,0,
19/8/2021,23,16,28,16,64,18,10,18,0,1014,0,0,
20/8/2021,24,18,28,16,66,19,9,18,0,1015,0,0,
21/8/2021,24,16,30,17,68,20,10,18,0,1017,0,0,
22/8/2021,27,18,31,19,65,22,10,24,0,1015,0,0,
23/8/2021,24,21,27,21,84,17,14,28,0,1014,0,0,pioggia temporale 
24/8/2021,23,18,27,18,74,19,12,18,0,1015,0,0,
25/8/2021,22,18,25,16,70,20,11,18,0,1014,0,0,
26/8/2021,21,14,27,16,75,19,11,18,0,1010,0,0,
27/8/2021,21,18,23,18,86,19,17,26,0,1009,0,0,pioggia 
28/8/2021,19,16,24,15,80,21,11,18,0,1011,0,0,pioggia 
29/8/2021,20,15,24,13,67,19,14,22,0,1012,0,0,pioggia temporale 
30/8/2021,20,11,27,12,67,20,9,28,0,1012,0,0,
31/8/2021,20,15,25,16,82,18,14,33,0,1016,0,0,pioggia temporale 
1/4/2021,15,7,22,8,67,17,8,13,0,1017,0,0,
2/4/2021,16,7,23,8,63,20,9,17,0,1012,0,0,
3/4/2021,13,7,16,8,77,21,19,37,0,1011,0,0,
4/4/2021,10,4,12,3,66,17,21,37,0,1017,0,0,
5/4/2021,8,0,15,5,80,21,12,28,0,1013,0,0,
6/4/2021,8,4,12,5,85,15,15,46,0,1004,0,0,pioggia 
7/4/2021,4,1,8,2,78,20,14,35,0,1014,0,0,pioggia 
8/4/2021,8,0,14,1,52,18,11,18,0,1024,0,0,
9/4/2021,9,1,15,5,75,21,11,26,0,1026,0,0,
10/4/2021,11,5,16,7,79,20,7,13,0,1022,0,0,
11/4/2021,13,10,18,10,83,20,16,30,0,1018,0,0,pioggia 
12/4/2021,14,12,19,12,86,13,10,22,0,1015,0,0,pioggia 
13/4/2021,8,6,12,6,87,15,20,41,0,1018,0,0,pioggia 
14/4/2021,8,3,13,3,72,21,11,17,0,1023,0,0,
15/4/2021,7,1,11,3,77,19,11,26,0,1021,0,0,
16/4/2021,8,1,13,2,70,21,10,21,0,1019,0,0,
17/4/2021,8,2,13,3,70,18,10,18,0,1016,0,0,
18/4/2021,9,5,13,5,78,21,10,18,0,1015,0,0,
19/4/2021,10,4,15,5,76,19,9,18,0,1015,0,0,
20/4/2021,12,5,18,7,70,19,10,21,0,1015,0,0,
21/4/2021,12,4,17,8,77,20,11,22,0,1017,0,0,
22/4/2021,13,9,17,11,87,19,10,18,0,1018,0,0,
23/4/2021,11,5,17,8,81,20,7,15,0,1022,0,0,
24/4/2021,12,5,19,6,70,19,8,17,0,1022,0,0,
25/4/2021,14,5,20,7,66,20,9,17,0,1016,0,0,
26/4/2021,14,9,17,12,89,21,7,13,0,1013,0,0,pioggia 
27/4/2021,13,12,14,11,91,20,9,13,0,1009,0,0,pioggia 
28/4/2021,14,12,16,11,87,18,8,13,0,1009,0,0,
29/4/2021,16,10,21,13,80,21,7,13,0,1009,0,0,nebbia 
30/4/2021,16,10,21,13,80,20,10,26,0,1010,0,0,
1/12/2021,6,0,13,5,81,21,7,13,0,1011,0,0,
2/12/2021,5,4,10,3,87,9,10,13,0,1000,0,0,pioggia 
3/12/2021,6,3,7,4,85,14,12,18,0,1009,0,0,pioggia 
4/12/2021,5,1,9,4,82,23,8,15,0,1010,0,0,
5/12/2021,5,2,7,3,84,11,9,21,0,1003,0,0,
6/12/2021,3,0,8,2,85,19,16,24,0,1007,0,0,pioggia 
7/12/2021,1,-1,7,2,85,20,9,17,0,1012,0,0,
8/12/2021,3,-3,10,3,85,21,13,35,0,1004,0,0,pioggia 
9/12/2021,4,2,5,2,84,17,13,18,0,1001,0,0,pioggia 
10/12/2021,6,3,8,3,84,20,10,17,0,1002,0,0,pioggia 
11/12/2021,5,3,8,3,83,17,23,31,0,1007,0,0,
12/12/2021,3,0,9,0,81,19,8,15,0,1021,0,0,
13/12/2021,5,0,10,2,75,22,7,9,0,1024,0,0,
14/12/2021,3,-1,9,2,88,22,6,11,0,1026,0,0,
15/12/2021,4,0,10,4,86,21,9,13,0,1029,0,0,
16/12/2021,4,2,8,3,85,11,14,21,0,1030,0,0,
17/12/2021,5,1,10,4,84,18,12,18,0,1031,0,0,
18/12/2021,-1,-3,0,0,85,1,9,15,0,1032,0,0,nebbia 
19/12/2021,2,-3,8,3,85,9,8,11,0,1023,0,0,nebbia 
20/12/2021,3,-2,10,3,85,9,7,13,0,1017,0,0,nebbia 
21/12/2021,4,1,6,3,88,4,8,11,0,1022,0,0,nebbia 
22/12/2021,6,4,7,3,83,18,16,21,0,1025,0,0,
